thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,21,99,001,26,f,r,calibration,0.55,2,0,21,0.347354013008391,-0.6306903787402434,0,False,1.7188663000124507,False,dot,square,0.5364839929927008,0.2646737485509843,47.90594848772815,93.17056534609452,701,[np.int64(1303)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,22,99,001,26,f,r,calibration,0.55,2,0,22,0.47090191089840744,-0.11652402308997703,1,False,0.7536026000161655,False,square,square,0.49596750515888316,5.4850697955885614,992.7976330015297,253.63159131146287,229,[np.int64(770)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,23,99,001,26,f,r,calibration,0.55,2,0,23,0.40766968306220214,-0.37360720091511007,0,True,nan,False,square,timeout,0.49596750515888316,0.9664738156339665,174.93176062974794,16.66610933357266,1150,[np.int64(21)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,24,99,001,26,f,r,calibration,0.55,2,0,24,0.40766968306220214,-0.37360720091511007,0,False,0.3158362000249326,False,square,dot,0.5530810273929033,3.276402127737369,593.0287851204638,82.64787078168897,1346,[np.int64(458)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,25,99,001,26,f,r,calibration,0.55,2,0,25,0.5350820483873121,0.14055915473515587,0,False,0.453143100021407,False,dot,square,0.6549166338105142,1.3524424685060128,244.7920867995883,29.93535573266796,1384,[np.int64(1549)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,26,99,001,26,f,r,calibration,0.55,2,0,26,0.5981210736084265,0.3976423325602886,0,True,nan,False,dot,timeout,0.6549166338105142,1.1508688966214746,208.3072702884869,25.346822919412247,411,[np.int64(1542)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,27,99,001,26,f,r,calibration,0.85,2,-1,1,0.6580745541515514,0.654725510385422,0,False,2.5348633999819867,False,dot,square,0.5711864920455342,2.2339618914493617,404.34710235233445,64.88241159805058,1273,[np.int64(1104)],1.3505311424544155,3.338035630858579,2.086969810867284,0.026467368719543947,0.021629674974220612,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,28,99,001,26,f,r,calibration,0.85,2,-1,2,0.7629446568996856,1.1688918660356877,0,False,0.600995899992995,False,square,dot,0.43851746382928875,1.9133518612777751,346.3166868912773,37.71009996878572,807,[np.int64(83)],1.581841623814482,3.4188930157409962,2.1181188375168096,0.02707431687976987,0.02173362264289523,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,29,99,001,26,f,r,calibration,0.85,2,-1,3,0.806273406195118,1.4259750438608214,1,False,1.1362599999993108,False,dot,dot,0.45669948263947696,2.391890280776612,432.9321408205667,74.28431333903416,1014,[np.int64(549)],1.511151437668425,3.374430975194209,2.097658080247403,0.026798266765867728,0.021686246814710878,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,30,99,001,26,f,r,calibration,0.85,2,-1,4,0.806273406195118,1.4259750438608214,1,False,1.063336699968204,False,dot,dot,0.4694546610159027,1.9219135997663739,347.8663615577137,54.491712837004265,919,[np.int64(745)],1.4376247673329865,3.3479364713982935,2.0852369107579363,0.026504204360139283,0.02163288823041854,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,31,99,001,26,f,r,calibration,0.85,2,-1,5,0.806273406195118,1.4259750438608214,0,False,1.9819682000088505,False,dot,square,0.3838843459378658,1.8362491372756735,332.3610938468969,56.43536810019949,903,[np.int64(1458)],1.6380788783451545,3.372731295885714,2.0966981111739003,0.027343678228347573,0.021771012692923558,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,32,99,001,26,f,r,calibration,0.85,2,-1,6,0.806273406195118,1.4259750438608214,0,False,0.8488865999970585,False,square,dot,0.3189799709994507,2.5166129607203076,455.5069458903757,65.59987895738462,921,[np.int64(754)],1.757615135946986,3.4941729130197845,2.148680478030399,0.027892772601893597,0.021849608408391667,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,33,99,001,26,f,r,calibration,0.85,2,-1,7,0.843309065531368,1.683058221685953,1,False,1.0673116999678314,False,square,square,0.32874779380063224,1.9476704194160188,352.5283459142994,51.59399107864338,623,[np.int64(1152)],1.7146263526476326,3.4609681098901053,2.1312314108025583,0.02759376531059769,0.021806396436550624,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,34,99,001,26,f,r,calibration,0.85,2,-1,8,0.843309065531368,1.683058221685953,1,False,3.9022176999715157,False,square,square,0.3358986189611848,2.291354818235618,414.73522210064687,58.63498160013812,1271,[np.int64(1179)],1.6704819123616,3.442975489410352,2.1213472819222314,0.027282905004641998,0.02175824822421001,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,35,99,001,26,f,r,calibration,0.85,2,-1,9,0.843309065531368,1.683058221685953,0,False,0.35161400004290044,False,dot,square,0.2884534781899519,1.4057826143675631,254.44665320052894,49.51792194157735,1257,[np.int64(180)],1.795317864329118,3.452617583614631,2.1283352571780862,0.028185541817041953,0.021881858699480748,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,36,99,001,26,f,r,calibration,0.85,2,-1,10,0.843309065531368,1.683058221685953,0,False,3.052282800024841,False,dot,square,0.2467512039622615,1.3319430489082593,241.08169185239493,40.45751079420399,1317,[np.int64(962)],1.8800628460683142,3.5573573674982772,2.1795298025094034,0.028856217233392562,0.02195713493085365,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,37,99,001,26,f,r,calibration,0.85,2,-1,11,0.843309065531368,1.683058221685953,1,False,0.800874299951829,False,square,square,0.25684654010225816,0.41330450928766027,74.80811618106651,2.5934925971366107,211,[np.int64(1155)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,38,99,001,26,f,r,calibration,0.85,2,-1,12,0.843309065531368,1.683058221685953,1,False,1.7167812999687158,False,dot,dot,0.26587449134302427,1.3411946804914985,242.7562371689612,24.245884429988816,898,[np.int64(649)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
