thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,67,6,001,35,m,r,calibration,0.55,2,0,7,0.2414297750189407,-1.1448567343905092,1,False,0.6877024000277743,False,dot,dot,0.6655040029490339,1.1463067752465206,207.48152631962023,318.2133199470687,858,[np.int64(823)],-1.4742093410781325,3.418155583309828,2.1207082838013434,0.02359503306669166,0.02094866297451967,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,68,6,001,35,m,r,calibration,0.55,2,0,8,0.19750845711691875,-1.4019399122156422,1,False,0.5864474000409245,False,dot,dot,0.6379682339783546,1.8372775752857,332.5472411267117,108.09857233481468,624,[np.int64(310)],-1.588994988127786,3.4288211960926755,2.1241451740947253,0.02328261508320846,0.020856746152409025,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,69,6,001,35,m,r,calibration,0.55,2,0,9,0.19750845711691875,-1.4019399122156422,1,False,1.0379742999793962,False,dot,dot,0.6059317278816257,1.6888402516020884,305.680085539978,307.3638208154489,1584,[np.int64(959)],-1.692549820154733,3.4548528600272017,2.1336724946732715,0.022953510534505457,0.02075603978196749,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,70,6,001,35,m,r,calibration,0.55,2,0,10,0.19750845711691875,-1.4019399122156422,1,False,0.7183445000555366,False,dot,dot,0.5722401632078009,1.8458347040531236,334.0960814336154,247.70104520340448,993,[np.int64(363)],-1.7833794753100891,3.4940182422271264,2.148042933167688,0.022611063708626276,0.020647000850147333,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,71,6,001,35,m,r,calibration,0.55,2,0,11,0.15989317907384526,-1.659023090040775,1,False,0.4536812000442296,False,dot,dot,0.5464081725192871,1.540622725551307,278.8527133247866,286.7836942783406,1547,[np.int64(1461)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,72,6,001,35,m,r,calibration,0.55,2,0,12,0.15989317907384526,-1.659023090040775,0,False,0.6026077000424266,False,dot,square,0.535610644299935,1.1464151607175823,207.50114408988242,150.129380398492,155,[np.int64(86)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,73,6,001,35,m,r,calibration,0.55,2,0,13,0.2414297750189407,-1.1448567343905092,1,False,0.9001662998925894,False,square,square,0.5038586511731887,0.922155924525824,166.91022233917414,196.61483781663824,1037,[np.int64(382)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,74,6,001,35,m,r,calibration,0.55,2,0,14,0.19750845711691875,-1.4019399122156422,1,False,0.7961341999471188,False,square,square,0.4816835950459381,2.1001205307500883,380.121816065766,105.90708596952057,357,[np.int64(1360)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,75,6,001,35,m,r,calibration,0.55,2,0,15,0.15989317907384526,-1.659023090040775,1,False,0.48664169991388917,False,dot,dot,0.4695175560411009,1.4272041438794598,258.3239500421822,269.84069700226854,300,[np.int64(815)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
,,76,6,001,35,m,r,calibration,0.55,2,0,16,0.15989317907384526,-1.659023090040775,1,False,0.8022012000437826,False,dot,dot,0.45582253319541893,1.667229656963654,301.7685679104214,268.69533123064497,1508,[np.int64(1180)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,0.19750845711691875,True,,,,,
