thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,stimulus_logit,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,difficulty_level,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,mem_item_num,mem_filename,mem_ground_truth,mem_response,mem_accuracy,mem_rt,mem_trigger_onset,mem_trigger_resp,participant,session,age,gender,handedness,quest_threshold_75,quest_alpha_sd,miniblock_order,starts_with,
,,47,99,001,test,2,5,,0.6580745541515514,,1,False,1.3116853999963496,False,img_B,img_B,0,0,0.27513524190566885,2.398580329624353,434.1430396620079,60.97338678424366,1101,[np.int64(1053)],,,,,,level_1,0.8646483875697211,4,refrigerator_01b,bracelet2_05s,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,48,99,001,test,2,5,,0.6580745541515514,,1,False,0.9441197999985889,False,img_A,img_A,0,0,0.27513524190566885,14.814596086177803,2681.4418915981823,183.50686929687672,572,[np.int64(924)],,,,,,level_1,0.8646483875697211,4,eggshell_10s,chick_06s,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,49,99,001,test,2,5,,0.6580745541515514,,1,False,0.9046177999989595,False,img_A,img_A,0,0,0.27513524190566885,20.52496866205561,3673.9693905079544,229.31203851139935,1475,[np.int64(1280)],,,,,,level_1,0.8646483875697211,5,tube_top_10s,marshmallow_06s,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,50,99,001,test,2,5,,0.6580745541515514,,1,False,4.533772800001316,False,img_A,img_A,0,0,0.27513524190566885,5.909239156883904,1069.5722873959867,107.06302839475772,1481,[np.int64(1201)],,,,,,level_1,0.8646483875697211,4,paint_01b,cat_01b,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,51,99,001,test,2,5,,0.6580745541515514,,0,False,1.069519600001513,False,img_B,img_A,0,0,0.27513524190566885,0.7026559690902746,127.1807304053397,22.206807626969642,383,[np.int64(863)],,,,,,level_1,0.8646483875697211,4,razor_03s,sandbox_06s,11,21,31,42,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,52,99,001,test,2,6,,0.8999999999999999,,1,False,0.8208964999939781,False,img_A,img_A,0,0,0.27513524190566885,7.732962466596042,1399.6662064538837,139.71977530297656,1148,[np.int64(1499)],,,,,,level_3,0.8646483875697211,6,omelet_10s,harp_08s,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,53,99,001,test,2,6,,0.8999999999999999,,1,False,0.8843144999991637,False,img_A,img_A,0,0,0.27513524190566885,19.861469621783723,3594.9260015428536,164.30816570678948,1026,[np.int64(648)],,,,,,level_3,0.8646483875697211,5,shears_03s,grater_12s,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,54,99,001,test,2,6,,0.8999999999999999,,1,False,0.8601681000000099,False,img_B,img_B,0,0,0.27513524190566885,19.309377387636054,3494.997307162126,215.39838416988255,726,[np.int64(1139)],,,,,,level_3,0.8646483875697211,5,wrench_04s,toothpick_09s,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,55,99,001,test,2,6,,0.8999999999999999,,1,False,0.8549689000064973,False,img_A,img_A,0,0,0.27513524190566885,12.783450928739073,2275.454265315555,211.07282984272064,386,[np.int64(1521)],,,,,,level_3,0.8646483875697211,6,tiara_08s,coffee_13s,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,56,99,001,test,2,6,,0.8999999999999999,,1,False,1.0720593000005465,False,img_A,img_A,0,0,0.27513524190566885,16.15581218926681,2908.046194068026,215.34799606554458,1408,[np.int64(612)],,,,,,level_3,0.8646483875697211,6,chicken_wire_03s,nightshirt_08s,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
